Time_s,Altitude_m,Velocity_ms,Acceleration_ms2
0.000000,0.000000,0.000000,9.819960
0.020000,-0.001964,0.196399,7.652904
0.040000,-0.007602,0.306116,-2.584061
0.060000,-0.011945,0.093037,1.510777
0.080000,-0.009671,0.366547,25.643025
0.100000,0.004678,1.118758,45.079332
0.120000,0.037079,2.169721,59.705733
0.140000,0.093369,3.506987,74.402642
0.160000,0.179366,5.145826,90.328978
0.180000,0.301447,7.120146,107.562233
0.200000,0.466549,9.448316,124.034842
0.220000,0.681446,12.081540,136.910831
0.240000,0.951143,14.924749,148.073976
0.260000,1.280076,18.004499,158.315653
0.280000,1.672499,21.257375,167.877037
0.300000,2.131975,24.719580,164.532719
0.320000,2.658553,27.838684,141.831962
0.340000,3.241810,30.392859,117.829731
0.360000,3.871632,32.551873,103.271854
0.380000,4.542670,34.523733,95.551956
0.400000,5.251754,36.373951,91.845245
0.420000,5.997488,38.197543,90.623530
0.440000,6.779513,39.998892,89.001337
0.460000,7.597161,41.757596,86.771663
0.480000,8.449506,43.469759,84.701367
0.500000,9.335710,45.145651,83.236335
0.520000,10.255185,46.799212,82.465291
0.540000,11.207623,48.444263,82.400624
0.560000,12.193001,50.095237,82.938143
0.580000,13.211544,51.761788,83.785775
0.600000,14.263602,53.446668,84.564147
0.620000,15.349501,55.144354,84.930378
0.640000,16.469393,56.843883,84.845381
0.660000,17.623220,58.538169,84.844667
0.680000,18.810952,60.237670,85.714007
0.700000,20.032931,61.966730,86.535687
0.720000,21.289677,63.699098,80.996111
0.740000,22.579486,65.206574,62.646982
0.760000,23.894435,66.204977,37.478313
0.780000,25.224361,66.705707,14.043447
0.800000,26.559728,66.766715,-4.916069
0.820000,27.892801,66.509064,-13.946976
0.840000,29.219961,66.208836,-14.991596
0.860000,30.541142,65.909400,-14.948189
0.880000,31.856344,65.610908,-14.901198
0.900000,33.165585,65.313352,-14.854577
0.920000,34.468884,65.016725,-14.808322
0.940000,35.766260,64.721019,-14.762429
0.960000,37.057731,64.426228,-14.716896
0.980000,38.343315,64.132343,-14.671720
1.000000,39.623030,63.839359,-14.626896
1.020000,40.896895,63.547268,-14.582422
1.040000,42.164927,63.256062,-14.538295
1.060000,43.427144,62.965736,-14.494512
1.080000,44.683562,62.676282,-14.451069
1.100000,45.934201,62.387693,-14.407965
1.120000,47.179076,62.099963,-14.365195
1.140000,48.418205,61.813085,-14.322757
1.160000,49.651605,61.527053,-14.280648
1.180000,50.879292,61.241859,-14.238865
1.200000,52.101285,60.957498,-14.197406
1.220000,53.317598,60.673963,-14.156267
1.240000,54.528249,60.391247,-14.115446
1.260000,55.733253,60.109345,-14.074941
1.280000,56.932628,59.828250,-14.034747
1.300000,58.126389,59.547955,-13.994864
1.320000,59.314551,59.268455,-13.955288
1.340000,60.497132,58.989744,-13.916016
1.360000,61.674146,58.711815,-13.877046
1.380000,62.845610,58.434662,-13.838376
1.400000,64.011538,58.158280,-13.800003
1.420000,65.171946,57.882662,-13.761924
1.440000,66.326849,57.607803,-13.724138
1.460000,67.476263,57.333696,-13.686641
1.480000,68.620202,57.060337,-13.649431
1.500000,69.758682,56.787719,-13.612506
1.520000,70.891716,56.515837,-13.575864
1.540000,72.019320,56.244685,-13.539502
1.560000,73.141508,55.974257,-13.503418
1.580000,74.258295,55.704548,-13.467610
1.600000,75.369695,55.435552,-13.432076
1.620000,76.475722,55.167265,-13.396812
1.640000,77.576390,54.899680,-13.361818
1.660000,78.671714,54.632792,-13.327091
1.680000,79.761706,54.366596,-13.292628
1.700000,80.846382,54.101087,-13.258429
1.720000,81.925754,53.836259,-13.224489
1.740000,82.999837,53.572107,-13.190809
1.760000,84.068643,53.308627,-13.157385
1.780000,85.132186,53.045812,-13.124216
1.800000,86.190480,52.783658,-13.091299
1.820000,87.243537,52.522160,-13.058632
1.840000,88.291371,52.261313,-13.026215
1.860000,89.333994,52.001111,-12.994044
1.880000,90.371420,51.741551,-12.962117
1.900000,91.403660,51.482627,-12.930434
1.920000,92.430729,51.224334,-12.898992
1.940000,93.452638,50.966667,-12.867788
1.960000,94.469400,50.709622,-12.836823
1.980000,95.481027,50.453194,-12.806092
2.000000,96.487532,50.197378,-12.775596
2.020000,97.488926,49.942170,-12.745332
2.040000,98.485223,49.687565,-12.715298
2.060000,99.476433,49.433558,-12.685492
2.080000,100.462569,49.180145,-12.655913
2.100000,101.443643,48.927322,-12.626560
2.120000,102.419666,48.675083,-12.597430
2.140000,103.390650,48.423425,-12.568521
2.160000,104.356606,48.172342,-12.539833
2.180000,105.317547,47.921831,-12.511364
2.200000,106.273483,47.671888,-12.483112
2.220000,107.224426,47.422507,-12.455075
2.240000,108.170387,47.173685,-12.427252
2.260000,109.111377,46.925417,-12.399641
2.280000,110.047408,46.677699,-12.372241
2.300000,110.978489,46.430527,-12.345050
2.320000,111.904632,46.183897,-12.318067
2.340000,112.825848,45.937805,-12.291291
2.360000,113.742148,45.692245,-12.264719
2.380000,114.653542,45.447216,-12.238351
2.400000,115.560040,45.202711,-12.212184
2.420000,116.461653,44.958728,-12.186218
2.440000,117.358392,44.715263,-12.160451
2.460000,118.250267,44.472310,-12.134882
2.480000,119.137288,44.229867,-12.109510
2.500000,120.019465,43.987930,-12.084332
2.520000,120.896808,43.746494,-12.059348
2.540000,121.769327,43.505556,-12.034556
2.560000,122.637033,43.265112,-12.009956
2.580000,123.499935,43.025158,-11.985545
2.600000,124.358042,42.785690,-11.961322
2.620000,125.211365,42.546705,-11.937287
2.640000,126.059914,42.308199,-11.913437
2.660000,126.903696,42.070167,-11.889773
2.680000,127.742723,41.832608,-11.866291
2.700000,128.577004,41.595516,-11.842992
2.720000,129.406547,41.358888,-11.819874
2.740000,130.231362,41.122721,-11.796936
2.760000,131.051459,40.887011,-11.774177
2.780000,131.866846,40.651754,-11.751595
2.800000,132.677532,40.416947,-11.729189
2.820000,133.483526,40.182586,-11.706958
2.840000,134.284838,39.948668,-11.684902
2.860000,135.081476,39.715190,-11.663018
2.880000,135.873449,39.482148,-11.641306
2.900000,136.660765,39.249538,-11.619765
2.920000,137.443433,39.017357,-11.598394
2.940000,138.221462,38.785602,-11.577191
2.960000,138.994860,38.554269,-11.556156
2.980000,139.763636,38.323356,-11.535287
3.000000,140.527797,38.092858,-11.514583
3.020000,141.287353,37.862773,-11.494044
3.040000,142.042311,37.633096,-11.473668
3.060000,142.792679,37.403826,-11.453455
3.080000,143.538466,37.174958,-11.433403
3.100000,144.279680,36.946490,-11.413511
3.120000,145.016328,36.718418,-11.393779
3.140000,145.748419,36.490739,-11.374205
3.160000,146.475960,36.263449,-11.354789
3.180000,147.198959,36.036547,-11.335529
3.200000,147.917424,35.810028,-11.316425
3.220000,148.631363,35.583890,-11.297475
3.240000,149.340782,35.358129,-11.278680
3.260000,150.045690,35.132743,-11.260037
3.280000,150.746093,34.907728,-11.241546
3.300000,151.442000,34.683081,-11.223206
3.320000,152.133418,34.458799,-11.205016
3.340000,152.820354,34.234880,-11.186976
3.360000,153.502815,34.011320,-11.169084
3.380000,154.180808,33.788117,-11.151340
3.400000,154.854341,33.565267,-11.133742
3.420000,155.523420,33.342767,-11.116291
3.440000,156.188053,33.120615,-11.098984
3.460000,156.848246,32.898808,-11.081822
3.480000,157.504006,32.677342,-11.064804
3.500000,158.155341,32.456216,-11.047928
3.520000,158.802256,32.235425,-11.031194
3.540000,159.444759,32.014968,-11.014601
3.560000,160.082856,31.794841,-10.998149
3.580000,160.716553,31.575042,-10.981836
3.600000,161.345858,31.355568,-10.965662
3.620000,161.970777,31.136416,-10.949626
3.640000,162.591316,30.917583,-10.933728
3.660000,163.207481,30.699066,-10.917966
3.680000,163.819279,30.480864,-10.902340
3.700000,164.426716,30.262973,-10.886850
3.720000,165.029799,30.045390,-10.871494
3.740000,165.628533,29.828113,-10.856271
3.760000,166.222924,29.611139,-10.841182
3.780000,166.812979,29.394466,-10.826226
3.800000,167.398704,29.178090,-10.811401
3.820000,167.980104,28.962010,-10.796707
3.840000,168.557185,28.746222,-10.782144
3.860000,169.129954,28.530724,-10.767710
3.880000,169.698415,28.315514,-10.753406
3.900000,170.262575,28.100588,-10.739230
3.920000,170.822440,27.885944,-10.725182
3.940000,171.378014,27.671581,-10.711261
3.960000,171.929304,27.457494,-10.697466
3.980000,172.476316,27.243682,-10.683798
4.000000,173.019053,27.030142,-10.670256
4.020000,173.557523,26.816872,-10.656838
4.040000,174.091730,26.603868,-10.643544
4.060000,174.621680,26.391130,-10.630374
4.080000,175.147377,26.178654,-10.617327
4.100000,175.668828,25.966437,-10.604402
4.120000,176.186037,25.754477,-10.591599
