Sample,Time_ms,Pressure_Pa
2,21,102140
3,32,102140
4,37,102139
5,48,102139
6,52,102139
7,63,102139
8,68,102139
9,78,102139
10,83,102140
11,94,102140
12,99,102140
13,109,102140
14,114,102140
15,125,102140
16,130,102140
17,140,102140
18,145,102140
19,156,102140
20,161,102139
21,171,102139
22,176,102138
23,187,102138
24,192,102138
25,202,102138
26,207,102138
27,218,102138
28,223,102138
29,233,102138
30,238,102137
31,249,102137
32,253,102137
33,264,102137
34,269,102137
35,280,102137
36,284,102137
37,295,102137
38,300,102136
39,311,102136
40,315,102136
41,326,102136
42,331,102138
43,341,102138
44,346,102138
45,357,102138
46,362,102138
47,372,102138
48,377,102137
49,388,102137
50,393,102137
51,403,102137
52,408,102136
53,419,102136
54,424,102136
55,434,102136
56,439,102135
57,450,102135
58,454,102135
59,465,102135
60,470,102135
61,481,102135
62,485,102136
63,496,102136
64,501,102136
65,511,102136
66,516,102136
67,527,102136
68,532,102136
69,542,102136
70,547,102136
71,558,102136
72,563,102135
73,573,102135
74,578,102135
75,589,102135
76,594,102136
77,604,102136
78,609,102137
79,620,102137
80,624,102137
81,635,102137
82,640,102138
83,651,102138
84,655,102137
85,666,102137
86,671,102137
87,681,102137
88,686,102137
89,697,102137
90,702,102137
91,712,102137
92,717,102136
93,728,102136
94,733,102136
95,743,102136
96,748,102136
97,759,102136
98,763,102136
99,774,102136
100,779,102137
101,790,102137
102,794,102137
103,805,102137
104,810,102135
105,820,102135
106,825,102137
107,836,102137
108,841,102137
109,851,102137
110,856,102138
111,867,102138
112,872,102137
113,882,102137
114,887,102136
115,898,102136
116,902,102136
117,913,102136
118,918,102136
119,928,102136
120,933,102136
121,944,102136
122,949,102137
123,959,102137
124,964,102137
125,975,102137
126,980,102136
127,990,102136
128,995,102137
129,1006,102137
130,1010,102136
131,1021,102136
132,1026,102135
133,1037,102135
134,1041,102135
135,1052,102135
136,1057,102136
137,1068,102136
138,1072,102136
139,1083,102136
140,1088,102136
141,1098,102136
142,1103,102135
143,1114,102135
144,1119,102136
145,1129,102136
146,1134,102135
147,1145,102135
148,1150,102136
149,1160,102136
150,1165,102136
151,1176,102136
152,1181,102136
153,1191,102136
154,1196,102136
155,1207,102136
156,1211,102137
157,1222,102137
158,1227,102137
159,1238,102137
160,1242,102137
161,1253,102137
162,1258,102137
163,1268,102137
164,1273,102136
165,1284,102136
166,1289,102136
167,1299,102136
168,1304,102136
169,1315,102136
170,1320,102137
171,1330,102137
172,1335,102137
173,1346,102137
174,1350,102136
175,1361,102136
176,1366,102136
177,1377,102136
178,1381,102136
179,1392,102136
180,1397,102135
181,1407,102135
182,1412,102134
183,1423,102134
184,1428,102135
185,1438,102135
186,1443,102134
187,1454,102134
188,1458,102135
189,1469,102135
190,1474,102135
191,1485,102135
192,1489,102134
193,1500,102134
194,1505,102134
195,1515,102134
196,1520,102134
197,1531,102134
198,1536,102134
199,1546,102134
200,1551,102133
201,1562,102133
202,1567,102134
203,1577,102134
204,1582,102134
205,1593,102134
206,1597,102133
207,1608,102133
208,1613,102134
209,1624,102134
210,1628,102134
211,1639,102134
212,1644,102135
213,1654,102135
214,1659,102135
215,1670,102135
216,1675,102134
217,1685,102134
218,1690,102134
219,1701,102134
220,1706,102134
221,1716,102134
